,country_code,country,year,overall_score,goal_1_score,goal_2_score,goal_3_score,goal_4_score,goal_5_score,goal_6_score,goal_7_score,goal_8_score,goal_9_score,goal_10_score,goal_11_score,goal_12_score,goal_13_score,goal_14_score,goal_15_score,goal_16_score,goal_17_score
39,AUS,Australia,2023,75.90411851,99.3485,58.37025,95.21628571,89.56833333,82.0105,93.8984,72.20175,86.67157143,92.22671429,79.1725,88.232,52.33628571,16.85833333,65.944,62.621,83.12809091,72.5655
40,MLT,Malta,2023,75.52944579,99.762,66.262375,91.15361538,99.11175,64.72425,48.7066,72.073,87.28016667,71.73971429,86.633,88.25075,58.10485714,79.18133333,69.425,82.68466667,64.8515,54.056
41,GEO,Georgia,2023,75.01713789,88.0635,55.53785714,75.13621429,96.887,61.82925,80.309,79.795,74.19857143,53.10957143,75.1725,83.94475,85.62885714,90.979,61.1032,69.3458,74.30427273,69.947
42,THA,Thailand,2023,74.73862913,98.602,58.642,79.68464286,97.97825,70.688,76.0088,72.743,77.199,67.40942857,73.1555,86.56875,80.63085714,81.6255,64.21766667,60.2188,62.845,62.3395
43,BGR,Bulgaria,2023,74.62004755,99.9835,68.189625,79.283,79.548,71.6325,66.293,71.28766667,82.26371429,66.18857143,51.0345,73.373,75.08371429,84.17266667,65.6684,94.1426,68.5046,71.89175
46,BIH,Bosnia and Herzegovina,2023,74.01986096,99.863,63.80314286,76.87830769,64.14333333,47.127,73.244,71.337,76.868,47.32185714,80.7535,74.637,78.26142857,88.20666667,83.722,81.3236,66.1678,84.68
47,ISR,Israel,2023,73.97033908,98.626,55.39171429,96.33516667,99.58433333,76.098,68.2082,71.72125,84.28933333,94.72957143,71.5535,84.626,66.55742857,67.15266667,37.5392,49.3564,69.59725,66.12975
48,RUS,Russian Federation,2023,73.78628002,98.843,59.07257143,80.25607692,97.117,67.29475,75.1154,64.42325,81.61285714,75.94571429,78.9655,83.35566667,80.56085714,69.881,53.43616667,66.0982,47.7605,74.62825
49,BRA,Brazil,2023,73.68939304,93.3005,68.7175,77.65214286,85.9325,70.368,86.0712,90.61175,76.01157143,68.969,19.859,80.8665,83.52271429,93.86133333,63.77983333,61.653,56.90663636,74.6365
50,ARG,Argentina,2023,73.68521877,96.826,68.66925,81.01092857,97.85,82.61125,77.9412,73.03475,79.16428571,54.57728571,41.061,83.35,78.13528571,88.77466667,61.72416667,60.0204,61.674,66.22425
51,CRI,Costa Rica,2023,73.55689326,93.773,53.907375,88.28771429,99.1685,82.03675,74.5466,85.46025,74.44571429,59.61985714,19.296,90.87675,77.04114286,89.791,56.319,65.1136,73.80618182,66.97775
53,ALB,Albania,2023,73.50609736,98.6285,59.25185714,81.91864286,86.8065,60.8485,73.7458,84.3385,66.18742857,43.613,88.071,77.366,81.69728571,90.576,50.172,79.6008,60.69809091,66.08375
54,VNM,Vietnam,2023,73.32232265,97.0075,73.62975,69.86335714,97.3805,74.3825,74.2558,69.012,76.19914286,58.10528571,70.388,87.812,90.18828571,92.233,47.661,44.574,64.37736364,59.41
56,FJI,Fiji,2023,72.87704416,89.6515,61.233375,71.16769231,93.64233333,59.0315,72.39325,63.353,53.2625,60.35083333,88.118,93.97566667,84.62033333,96.0175,73.07966667,45.7826,71.831,61.399
57,TUN,Tunisia,2023,72.50349745,97.9125,61.53875,78.91871429,93.11866667,50.97175,63.9376,70.20325,62.53557143,55.93942857,80.8475,65.40125,86.689,93.076,63.31216667,70.9024,60.57590909,76.679
58,CYP,Cyprus,2023,72.49166359,99.914,53.66114286,91.0815,93.93675,68.08366667,67.8766,74.06,74.77728571,75.83842857,85.5075,77.8255,50.84985714,68.11366667,50.19033333,79.0112,74.7126,46.91825
61,DOM,Dominican Republic,2023,72.13519314,95.927,75.679375,66.62128571,74.2295,71.8335,67.6394,69.13725,74.393,46.75283333,54.6765,84.3185,83.128,91.827,83.89916667,75.1442,53.30227273,57.7895
62,CHN,China,2023,72.00816749,98.052,83.401125,83.39846154,99.531,78.1855,68.9986,67.7165,78.89728571,80.27371429,34.9295,79.459,86.99928571,77.6405,55.7345,48.935,60.582125,41.40475
64,PER,Peru,2023,71.65907643,86.018,71.42375,80.8245,98.7865,74.927,77.9804,74.35125,74.63885714,44.75114286,33.761,70.45275,87.83928571,93.51233333,78.67566667,55.278,54.26636364,60.7175
66,MNE,Montenegro,2023,71.40438382,98.945,51.76114286,75.6685,88.159,56.857,65.20933333,79.0845,61.567,61.59685714,66.6515,74.71575,70.36733333,92.7875,52.0974,54.258,78.451375,85.69733333
67,MDV,Maldives,2023,71.27199736,100.0,44.6,86.88953846,96.57375,38.50475,73.67125,64.169,72.38633333,47.80116667,92.6525,80.32225,74.76933333,89.7775,63.16066667,51.45,66.44666667,68.44925
69,MAR,Morocco,2023,70.86945567,90.3785,64.697375,73.08585714,78.56875,43.7715,63.4674,69.95,69.12357143,55.07714286,53.9425,76.22475,91.307,94.22633333,71.87266667,76.6588,62.2636,70.165
70,DZA,Algeria,2023,70.83361592,97.673,57.56114286,77.34692857,70.05425,41.0435,58.0126,65.5305,67.45814286,53.87014286,97.015,62.64725,89.18442857,88.62666667,64.7675,67.0636,65.25981818,81.057
71,TUR,Türkiye,2023,70.77861136,98.127,65.156,84.55869231,89.42075,47.6235,73.293,72.14933333,69.978,71.88971429,45.031,71.545,82.20657143,86.683,58.6265,53.8654,58.53318182,74.54975
